"","model","smooth","type","by","est","se","Relative_completed_primary_series_rate_lag2","Relative_full_service_restaurant_lag2","Relative_Government_Response_Index_lag2","Relative_gym_lag2","Relative_office_of_physician_lag2","Relative_Past_12_week_infections_lag4","Relative_university_lag2","Relative_Weekly_testing_lag2"
"80","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.131553271377032,0.031780125501012,1.21442382552399,NA,NA,NA,NA,NA,NA,NA
"81","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.13561531098007,0.0325934198886508,1.22110487301991,NA,NA,NA,NA,NA,NA,NA
"82","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.139677357638932,0.0334107652350908,1.22778592051583,NA,NA,NA,NA,NA,NA,NA
"83","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.143739410620079,0.0342318719885175,1.23446696801175,NA,NA,NA,NA,NA,NA,NA
"84","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.147801469214137,0.0350564763318004,1.24114801550767,NA,NA,NA,NA,NA,NA,NA
"85","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.15186353273032,0.0358843375048995,1.24782906300358,NA,NA,NA,NA,NA,NA,NA
"86","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.155925600520659,0.0367152354561219,1.2545101104995,NA,NA,NA,NA,NA,NA,NA
"87","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.15998767196896,0.037548968744145,1.26119115799542,NA,NA,NA,NA,NA,NA,NA
"88","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.16404974650019,0.0383853526908933,1.26787220549134,NA,NA,NA,NA,NA,NA,NA
"89","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.168111823596941,0.039224217750182,1.27455325298726,NA,NA,NA,NA,NA,NA,NA
"90","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.172173902804494,0.0400654080529727,1.28123430048318,NA,NA,NA,NA,NA,NA,NA
"91","model_1_pre_delta","s(Relative_completed_primary_series_rate_lag2)","TPRS",NA,-0.176235983748008,0.0409087801240664,1.28791534797909,NA,NA,NA,NA,NA,NA,NA
